Fold,Selected_Threshold,Inner_CV_Macro_F1,Baseline_Macro_F1,Tuned_Macro_F1,Delta_Macro_F1,Baseline_Balanced_Accuracy,Tuned_Balanced_Accuracy,Delta_Balanced_Accuracy,Baseline_Precision_Macro,Tuned_Precision_Macro,Baseline_Recall_Macro,Tuned_Recall_Macro,Baseline_CM,Tuned_CM
1,0.0,0.9271517438664009,0.9278950616167281,0.9278950616167281,0.0,0.9265584262939692,0.9265584262939692,0.0,0.9294516311217491,0.9294516311217491,0.9265584262939692,0.9265584262939692,"[[672, 37], [50, 478]]","[[672, 37], [50, 478]]"
2,-0.04999999999999982,0.9239020306072413,0.9335375026864389,0.9336092013245957,7.16986381568141e-05,0.9314349092658417,0.9319239917684474,0.0004890825026057088,0.9361676258409661,0.9356309941615047,0.9314349092658417,0.9319239917684474,"[[680, 30], [50, 477]]","[[678, 32], [48, 479]]"
3,0.0,0.9280301990815946,0.9088026015003703,0.9088026015003703,0.0,0.9078130729064909,0.9078130729064909,0.0,0.9099194830559314,0.9099194830559314,0.9078130729064909,0.9078130729064909,"[[659, 50], [60, 467]]","[[659, 50], [60, 467]]"
4,0.15000000000000013,0.92497371988222,0.9283524625302306,0.921317603716596,-0.007034858813634637,0.9254689636899394,0.9169046389200386,-0.008564324769900766,0.9322715988285935,0.9283033497480059,0.9254689636899394,0.9169046389200386,"[[680, 29], [57, 470]]","[[684, 25], [69, 458]]"
5,0.10000000000000009,0.9258031555237931,0.926077300172368,0.9224986936807862,-0.003578606491581815,0.924327499779201,0.9195582414229626,-0.004769258356238426,0.9282045049424729,0.9265435726646423,0.924327499779201,0.9195582414229626,"[[673, 36], [53, 474]]","[[677, 32], [61, 466]]"
6,-0.09999999999999987,0.9284609538601767,0.9238871054039594,0.9232284607453528,-0.0006586446586065442,0.9232740842843099,0.9235358699833311,0.00026178569902124416,0.9245465262706642,0.9229325715017365,0.9232740842843099,0.9235358699833311,"[[666, 43], [49, 479]]","[[661, 48], [45, 483]]"
7,-0.04999999999999982,0.9247272970270034,0.9318008229567275,0.9318385855132298,3.776255650234095e-05,0.9292928348077077,0.9295373760590107,0.00024454125130290993,0.9350694199923077,0.9347779040199102,0.9292928348077077,0.9295373760590107,"[[681, 29], [53, 474]]","[[680, 30], [52, 475]]"
8,-0.04999999999999982,0.9255341382909554,0.9292452353676843,0.9259973346554662,-0.0032479007122181436,0.9266612782789989,0.9238404038079129,-0.0028208744710860323,0.9326535818578547,0.9287319291786237,0.9266612782789989,0.9238404038079129,"[[679, 30], [55, 472]]","[[675, 34], [55, 472]]"
9,-0.19999999999999996,0.9252502810584721,0.9259155993849871,0.9229558136027749,-0.002959785782212232,0.9233533078366247,0.9222372692650471,-0.0011160385715776044,0.9292991521651812,0.9237376450365278,0.9233533078366247,0.9222372692650471,"[[677, 32], [57, 470]]","[[666, 43], [50, 477]]"
10,0.15000000000000013,0.9268271546412293,0.9218611708180553,0.9207409392421451,-0.0011202315759102355,0.9198272147477673,0.9174171602304874,-0.002410054517279936,0.9244161979204715,0.9254967971452579,0.9198272147477673,0.9174171602304874,"[[672, 37], [57, 470]]","[[678, 31], [64, 463]]"
11,-0.1499999999999999,0.9259014493888005,0.9294027991795161,0.9295890658639729,0.00018626668445687056,0.9272436102919177,0.9284523656879087,0.001208755395990968,0.9321404447326471,0.9308833010960671,0.9272436102919177,0.9284523656879087,"[[677, 32], [53, 475]]","[[672, 37], [48, 480]]"
12,0.15000000000000013,0.924283352923841,0.9237708651501755,0.9252296905222437,0.0014588253720682065,0.9227396637891867,0.9231699494882005,0.0004302856990138215,0.9249314958091555,0.9278120018372916,0.9227396637891867,0.9231699494882005,"[[669, 41], [51, 476]]","[[675, 35], [55, 472]]"
13,0.0,0.9268975390333528,0.9210513045495345,0.9210513045495345,0.0,0.9191219961299957,0.9191219961299957,0.0,0.9234500735484987,0.9234500735484987,0.9191219961299957,0.9191219961299957,"[[671, 38], [57, 470]]","[[671, 38], [57, 470]]"
14,-0.09999999999999987,0.9254973811264902,0.9249773394337016,0.9302488693254649,0.005271529891763271,0.9219174452619211,0.9285842368249907,0.006666791563069596,0.9292235142927934,0.9322491396180579,0.9219174452619211,0.9285842368249907,"[[679, 30], [60, 467]]","[[675, 34], [50, 477]]"
15,0.0,0.9269735233070617,0.9270420812002962,0.9270420812002962,0.0,0.9260069103395487,0.9260069103395487,0.0,0.9282072941410674,0.9282072941410674,0.9260069103395487,0.9260069103395487,"[[670, 39], [49, 478]]","[[670, 39], [49, 478]]"
16,0.0,0.924359353407664,0.9269701214570554,0.9269701214570554,0.0,0.9251279544386033,0.9251279544386033,0.0,0.9292351053213583,0.9292351053213583,0.9251279544386033,0.9251279544386033,"[[674, 35], [53, 475]]","[[674, 35], [53, 475]]"
17,0.050000000000000044,0.9268682482848607,0.9211819190926682,0.9228000314058338,0.001618112313165554,0.9196488227276371,0.9210572734318625,0.0014084507042253502,0.9230064655172414,0.9249184130323381,0.9196488227276371,0.9210572734318625,"[[670, 40], [55, 472]]","[[672, 38], [55, 472]]"
18,-0.04999999999999982,0.9248894057988613,0.9333131906077348,0.9342028214000533,0.0008896307923185187,0.9301873713678566,0.9313796859569161,0.001192314589059551,0.9376366453116534,0.9379945652173913,0.9301873713678566,0.9313796859569161,"[[684, 25], [55, 472]]","[[683, 26], [53, 474]]"
19,-0.09999999999999987,0.925994138590833,0.9246506561481102,0.9280691133728223,0.0034184572247121237,0.9241348024718783,0.9281734168711846,0.004038614399306306,0.9251988151582472,0.9279661016949152,0.9241348024718783,0.9281734168711846,"[[666, 43], [48, 479]]","[[665, 44], [43, 484]]"
20,-0.25,0.9255408243757763,0.9208768105443679,0.9157678122828585,-0.0051089982615093454,0.9181478041874196,0.9163773976763916,-0.0017704065110279998,0.9245597826086958,0.9152039370267868,0.9181478041874196,0.9163773976763916,"[[675, 34], [61, 466]]","[[655, 54], [48, 479]]"
21,0.050000000000000044,0.9268241270278195,0.9278573597639823,0.9270089046239673,-0.0008484551400149698,0.9263166752147711,0.9253697055178014,-0.0009469696969697239,0.9296912862266162,0.9289816810344828,0.9263166752147711,0.9253697055178014,"[[673, 36], [51, 477]]","[[673, 36], [52, 476]]"
22,0.050000000000000044,0.9276003794277515,0.9259582824726529,0.926728269415097,0.000769986942444123,0.9233850923377074,0.9238447764385171,0.0004596841008097652,0.929351979835759,0.9306444868055895,0.9233850923377074,0.9238447764385171,"[[678, 32], [57, 470]]","[[680, 30], [58, 469]]"
23,-0.19999999999999996,0.9266481158567473,0.9235236990985223,0.922300333846944,-0.00122336525157829,0.9214811999689543,0.9225062425898518,0.0010250426208975316,0.9260882622705984,0.9220995553511603,0.9214811999689543,0.9225062425898518,"[[673, 36], [56, 471]]","[[661, 48], [46, 481]]"
24,-0.04999999999999982,0.9257108291501492,0.9233969626092674,0.9234396671289875,4.2704519720104805e-05,0.9207505560120222,0.9209941039976661,0.00024354798564396596,0.9269298138417044,0.9266393453738686,0.9207505560120222,0.9209941039976661,"[[676, 33], [59, 468]]","[[675, 34], [58, 469]]"
25,0.15000000000000013,0.9224876712267513,0.9311337872590659,0.9383497933399658,0.007216006080899895,0.9297765514140504,0.9353928750170617,0.005616323603011342,0.9327123101630792,0.9423541791860519,0.9297765514140504,0.9353928750170617,"[[674, 35], [48, 479]]","[[686, 23], [51, 476]]"
